attack,level,dt_level,mal_nodes,method,seed,polluted_acc,polluted_f1,clean_acc,clean_f1,w_mal
dt_logit_scale,,D0,0,trimmed_mean,0,0.811465859413147,0.7756740033927496,0.813269853591919,0.7740408593443693,
dt_logit_scale,,D0,0,trimmed_mean,1,0.7907247543334961,0.7440130707972794,0.792833149433136,0.7436965533499783,
dt_logit_scale,,D0,0,trimmed_mean,2,0.8009787797927856,0.7637698234035417,0.8044979572296143,0.7644405055149819,
dt_logit_scale,,D0,0,trimmed_mean,3,0.7984153032302856,0.7562896318287455,0.8029115200042725,0.760166025757921,
dt_logit_scale,,D0,0,trimmed_mean,4,0.8014448881149292,0.7634882764076736,0.8021649718284607,0.7616958070561424,
dt_logit_scale,,D0,3,weighted,0,0.8200885653495789,0.788826586293276,0.8212019205093384,0.7863899079442744,0.0637322059278996
dt_logit_scale,,D0,3,weighted,1,0.7953857183456421,0.7512781044333225,0.7996453642845154,0.7539265410260957,0.0888786599011374
dt_logit_scale,,D0,3,weighted,2,0.8002796769142151,0.7895242047729019,0.8078573942184448,0.7972324278550811,0.05406862387769995
dt_logit_scale,,D0,3,weighted,3,0.8040083646774292,0.7653333629853695,0.8117767572402954,0.7729154550075379,0.09121852938700287
dt_logit_scale,,D0,3,weighted,4,0.8135632872581482,0.7951339172958594,0.8142963647842407,0.7944470026701955,0.06210458546229088
dt_logit_scale,,D0,3,mean,0,0.7268701791763306,0.6254353366112164,0.7320828437805176,0.6280649597318553,
dt_logit_scale,,D0,3,mean,1,0.7660219073295593,0.6956804659156348,0.7685703635215759,0.6956975772760631,
dt_logit_scale,,D0,3,mean,2,0.7567000985145569,0.6815031094614736,0.7617580890655518,0.6842603581704805,
dt_logit_scale,,D0,3,mean,3,0.7511069774627686,0.6710364918732035,0.7629712820053101,0.6855982479480895,
dt_logit_scale,,D0,3,mean,4,0.7795385718345642,0.7178039730174022,0.7843411564826965,0.7214134356656725,
dt_logit_scale,,D0,3,median,0,0.806571900844574,0.7695953866412656,0.8109369277954102,0.7710236607790555,
dt_logit_scale,,D0,3,median,1,0.7904917001724243,0.7434151342010835,0.7932063937187195,0.7443133637094701,
dt_logit_scale,,D0,3,median,2,0.7977161407470703,0.7587242023344631,0.8020716905593872,0.7608495160221611,
dt_logit_scale,,D0,3,median,3,0.7981822490692139,0.7560650173637699,0.8016983866691589,0.7582484377126212,
dt_logit_scale,,D0,3,median,4,0.8002796769142151,0.7619413160671944,0.8026315569877625,0.7623238813500246,
dt_logit_scale,,D0,3,trimmed_mean,0,0.7860638499259949,0.7347723309963645,0.7968458533287048,0.7465150801676408,
dt_logit_scale,,D0,3,trimmed_mean,1,0.7970170378684998,0.7543687170718447,0.8005785942077637,0.7556026506520792,
dt_logit_scale,,D0,3,trimmed_mean,2,0.7874621152877808,0.7405266231601779,0.7921799421310425,0.7434318970877261,
dt_logit_scale,,D0,3,trimmed_mean,3,0.8030762076377869,0.762147194740938,0.8081373572349548,0.7657133436128312,
dt_logit_scale,,D0,3,trimmed_mean,4,0.8105337023735046,0.7907304022044777,0.8120567202568054,0.7901545060837294,
dt_logit_scale,,D0,5,weighted,0,0.8105337023735046,0.7753573413961315,0.8096304535865784,0.7703901350217037,0.08653257881169604
dt_logit_scale,,D0,5,weighted,1,0.7979491949081421,0.7573056422907158,0.7982456088066101,0.7549102906606899,0.07029490478285441
dt_logit_scale,,D0,5,weighted,2,0.8021440505981445,0.7914889729897197,0.8087905645370483,0.798015971937877,0.06436486310747698
dt_logit_scale,,D0,5,weighted,3,0.7960848212242126,0.7515932205627704,0.8006718754768372,0.7547258827885959,0.12290752199016743
dt_logit_scale,,D0,5,weighted,4,0.8103006482124329,0.7882395151432553,0.8157894611358643,0.7922370410828021,0.10463509603564922
dt_logit_scale,,D0,5,mean,0,0.6569564342498779,0.47079976165497794,0.6664800047874451,0.48029190186421394,
dt_logit_scale,,D0,5,mean,1,0.6446049809455872,0.3931980203700532,0.6508025527000427,0.3970247548535414,
dt_logit_scale,,D0,5,mean,2,0.7429503798484802,0.6565724662710081,0.7579320669174194,0.6743882403297687,
dt_logit_scale,,D0,5,mean,3,0.7082265019416809,0.5866722183955027,0.7193915843963623,0.598684810544771,
dt_logit_scale,,D0,5,mean,4,0.774877667427063,0.7103766223380712,0.7819148898124695,0.717042518094031,
dt_logit_scale,,D0,5,median,0,0.5949662327766418,0.5860719629856613,0.6041433215141296,0.5944105455441764,
dt_logit_scale,,D0,5,median,1,0.7361920475959778,0.7155087913617277,0.7403882145881653,0.7187867353121384,
dt_logit_scale,,D0,5,median,2,0.5842460989952087,0.5835050424589099,0.5907987952232361,0.5899024150065417,
