attack_mode,attack,level,dt_level,mal_nodes,method,seed,round,node_id,is_malicious,R4,KL_q_p,Rep,passed_gate,pi,R2,R2_source,method_detail,uses_dt,mimic_attack_enabled,mimic_loss,poison_loss,final_kl_to_teacher,exp_group,rep,R3,r4_kl,r4_gate_hit,tau_gate,lambda_m,ref_size,audit_size,audit_size_used
stealth_amp,stealth_amp,,D0,5,weighted,1,15,7,0,0.6948007679380573,0.3641301393508911,43.73438472791177,0,43.73438472791177,0.7310585786300049,none,weighted,False,0.0,nan,nan,nan,tau,43.73438472791177,1.0,0.3641301393508911,1,0.8,0.0,128,0,0
stealth_amp,stealth_amp,,D0,5,weighted,1,15,8,0,0.7041600451118728,0.3507496118545532,53.44754467505687,0,53.44754467505687,0.7310585786300049,none,weighted,False,0.0,nan,nan,nan,tau,53.44754467505687,1.0,0.3507496118545532,1,0.8,0.0,128,0,0
stealth_amp,stealth_amp,,D0,5,weighted,1,15,9,0,0.7028506081799424,0.35261091589927673,51.96916993432767,0,51.96916993432767,0.7310585786300049,none,weighted,False,0.0,nan,nan,nan,tau,51.96916993432767,1.0,0.35261091589927673,1,0.8,0.0,128,0,0
stealth_amp,stealth_amp,,D0,5,weighted,2,15,0,1,6.1920358757422075e-06,11.992246627807617,3.5965589892060547e-10,0,3.5965589892060547e-10,0.7310585786300049,none,weighted,False,0.0,nan,nan,nan,tau,3.5965589892060547e-10,1.0,11.992246627807617,1,0.8,0.0,128,0,0
stealth_amp,stealth_amp,,D0,5,weighted,2,15,1,1,0.000976813970867099,6.931214332580566,5.7849059327351155e-08,0,5.7849059327351155e-08,0.7310585786300049,none,weighted,False,0.0,nan,nan,nan,tau,5.7849059327351155e-08,1.0,6.931214332580566,1,0.8,0.0,128,0,0
stealth_amp,stealth_amp,,D0,5,weighted,2,15,2,1,1.3480172997817404e-05,11.214290618896484,7.830914704526041e-10,0,7.830914704526041e-10,0.7310585786300049,none,weighted,False,0.0,nan,nan,nan,tau,7.830914704526041e-10,1.0,11.214290618896484,1,0.8,0.0,128,0,0
stealth_amp,stealth_amp,,D0,5,weighted,2,15,3,1,0.001127868179508488,6.787425994873047,6.699691776603417e-08,0,6.699691776603417e-08,0.7310585786300049,none,weighted,False,0.0,nan,nan,nan,tau,6.699691776603417e-08,1.0,6.787425994873047,1,0.8,0.0,128,0,0
stealth_amp,stealth_amp,,D0,5,weighted,2,15,4,1,0.00019321605374585273,8.551701545715332,1.1264745950067445e-08,0,1.1264745950067445e-08,0.7310585786300049,none,weighted,False,0.0,nan,nan,nan,tau,1.1264745950067445e-08,1.0,8.551701545715332,1,0.8,0.0,128,0,0
stealth_amp,stealth_amp,,D0,5,weighted,2,15,5,0,0.722392147710495,0.32518714666366577,78.95714340506915,0,78.95714340506915,0.7310585786300049,none,weighted,False,0.0,nan,nan,nan,tau,78.95714340506915,1.0,0.32518714666366577,1,0.8,0.0,128,0,0
stealth_amp,stealth_amp,,D0,5,weighted,2,15,6,0,0.7224241835187678,0.3251428008079529,79.01125247723498,0,79.01125247723498,0.7310585786300049,none,weighted,False,0.0,nan,nan,nan,tau,79.01125247723498,1.0,0.3251428008079529,1,0.8,0.0,128,0,0
stealth_amp,stealth_amp,,D0,5,weighted,2,15,7,0,0.706089056091826,0.34801390767097473,55.702031773065805,0,55.702031773065805,0.7310585786300049,none,weighted,False,0.0,nan,nan,nan,tau,55.702031773065805,1.0,0.34801390767097473,1,0.8,0.0,128,0,0
stealth_amp,stealth_amp,,D0,5,weighted,2,15,8,0,0.7262215213518493,0.31990018486976624,85.69372919541108,0,85.69372919541108,0.7310585786300049,none,weighted,False,0.0,nan,nan,nan,tau,85.69372919541108,1.0,0.31990018486976624,1,0.8,0.0,128,0,0
stealth_amp,stealth_amp,,D0,5,weighted,2,15,9,0,0.720825249212201,0.32735854387283325,76.35517807100574,0,76.35517807100574,0.7310585786300049,none,weighted,False,0.0,nan,nan,nan,tau,76.35517807100574,1.0,0.32735854387283325,1,0.8,0.0,128,0,0
stealth_amp,stealth_amp,,D0,5,weighted,3,15,0,1,0.000285791020986826,8.160249710083008,1.6692864563347874e-08,0,1.6692864563347874e-08,0.7310585786300049,none,weighted,False,0.0,nan,nan,nan,tau,1.6692864563347874e-08,1.0,8.160249710083008,1,0.8,0.0,128,0,0
stealth_amp,stealth_amp,,D0,5,weighted,3,15,1,1,8.838814891973313e-05,9.333772659301758,5.142350906971623e-09,0,5.142350906971623e-09,0.7310585786300049,none,weighted,False,0.0,nan,nan,nan,tau,5.142350906971623e-09,1.0,9.333772659301758,1,0.8,0.0,128,0,0
stealth_amp,stealth_amp,,D0,5,weighted,3,15,2,1,5.422085658095566e-05,9.822444915771484,3.1523706197260368e-09,0,3.1523706197260368e-09,0.7310585786300049,none,weighted,False,0.0,nan,nan,nan,tau,3.1523706197260368e-09,1.0,9.822444915771484,1,0.8,0.0,128,0,0
stealth_amp,stealth_amp,,D0,5,weighted,3,15,3,1,0.00020762354210181622,8.47978401184082,1.2108209639307496e-08,0,1.2108209639307496e-08,0.7310585786300049,none,weighted,False,0.0,nan,nan,nan,tau,1.2108209639307496e-08,1.0,8.47978401184082,1,0.8,0.0,128,0,0
stealth_amp,stealth_amp,,D0,5,weighted,3,15,4,1,0.0006108928458229885,7.4005889892578125,3.591460774768847e-08,0,3.591460774768847e-08,0.7310585786300049,none,weighted,False,0.0,nan,nan,nan,tau,3.591460774768847e-08,1.0,7.4005889892578125,1,0.8,0.0,128,0,0
stealth_amp,stealth_amp,,D0,5,weighted,3,15,5,0,0.7141520162025382,0.33665943145751953,66.19667941366295,0,66.19667941366295,0.7310585786300049,none,weighted,False,0.0,nan,nan,nan,tau,66.19667941366295,1.0,0.33665943145751953,1,0.8,0.0,128,0,0
stealth_amp,stealth_amp,,D0,5,weighted,3,15,6,0,0.7199746884800043,0.3285392224788666,74.97869123482228,0,74.97869123482228,0.7310585786300049,none,weighted,False,0.0,nan,nan,nan,tau,74.97869123482228,1.0,0.3285392224788666,1,0.8,0.0,128,0,0
stealth_amp,stealth_amp,,D0,5,weighted,3,15,7,0,0.7190550534800471,0.32981735467910767,73.51820951951724,0,73.51820951951724,0.7310585786300049,none,weighted,False,0.0,nan,nan,nan,tau,73.51820951951724,1.0,0.32981735467910767,1,0.8,0.0,128,0,0
stealth_amp,stealth_amp,,D0,5,weighted,3,15,8,0,0.7185130055556189,0.3305714726448059,72.67068332040262,0,72.67068332040262,0.7310585786300049,none,weighted,False,0.0,nan,nan,nan,tau,72.67068332040262,1.0,0.3305714726448059,1,0.8,0.0,128,0,0
stealth_amp,stealth_amp,,D0,5,weighted,3,15,9,0,0.7215406842237191,0.32636651396751404,77.53245165002956,0,77.53245165002956,0.7310585786300049,none,weighted,False,0.0,nan,nan,nan,tau,77.53245165002956,1.0,0.32636651396751404,1,0.8,0.0,128,0,0
stealth_amp,stealth_amp,,D0,5,weighted,4,15,0,1,0.0005270860580742787,7.548146724700928,3.0935680998249574e-08,0,3.0935680998249574e-08,0.7310585786300049,none,weighted,False,0.0,nan,nan,nan,tau,3.0935680998249574e-08,1.0,7.548146724700928,1,0.8,0.0,128,0,0
stealth_amp,stealth_amp,,D0,5,weighted,4,15,1,1,0.0002283676085262244,8.384553909301758,1.3323490615375875e-08,0,1.3323490615375875e-08,0.7310585786300049,none,weighted,False,0.0,nan,nan,nan,tau,1.3323490615375875e-08,1.0,8.384553909301758,1,0.8,0.0,128,0,0
stealth_amp,stealth_amp,,D0,5,weighted,4,15,2,1,0.0018535151742990834,6.290671348571777,1.1171089071821697e-07,0,1.1171089071821697e-07,0.7310585786300049,none,weighted,False,0.0,nan,nan,nan,tau,1.1171089071821697e-07,1.0,6.290671348571777,1,0.8,0.0,128,0,0
stealth_amp,stealth_amp,,D0,5,weighted,4,15,3,1,0.00013741884469277576,8.892477035522461,8.00276084280268e-09,0,8.00276084280268e-09,0.7310585786300049,none,weighted,False,0.0,nan,nan,nan,tau,8.00276084280268e-09,1.0,8.892477035522461,1,0.8,0.0,128,0,0
