attack_mode,attack,level,dt_level,mal_nodes,method,seed,round,tau_gate,lambda_m,ref_size,audit_size,S_DT,S_DT_ratio,num_masked,num_valid,valid_ratio,fallback_flag,fallback_method,skip_semantic,W_mal,benign_pass_rate,malicious_pass_rate,benign_admitted_weight_mass,uses_dt,method_detail,exp_group,w_mal
label_flip,label_flip,L1,D0,5,weighted,4,2,0.7,0.0,512,0,362.85552978515625,0.7087022066116333,148,364,0.7109375,0,none,0,0.27240117366372835,0.0,0.0,0.7275988263362716,False,weighted,base,0.27240117366372835
label_flip,label_flip,L1,D0,5,weighted,4,3,0.7,0.0,512,0,362.85552978515625,0.7087022066116333,148,364,0.7109375,0,none,0,0.24258069956568568,0.0,0.0,0.7574193004343144,False,weighted,base,0.24258069956568568
label_flip,label_flip,L1,D0,5,weighted,4,4,0.7,0.0,512,0,362.85552978515625,0.7087022066116333,148,364,0.7109375,0,none,0,0.17284738317901543,0.0,0.0,0.8271526168209844,False,weighted,base,0.17284738317901543
label_flip,label_flip,L1,D0,5,weighted,4,5,0.7,0.0,512,0,362.85552978515625,0.7087022066116333,148,364,0.7109375,0,none,0,0.44666894863137185,0.0,0.0,0.5533310513686281,False,weighted,base,0.44666894863137185
label_flip,label_flip,L1,D0,5,weighted,4,6,0.7,0.0,512,0,362.85552978515625,0.7087022066116333,148,364,0.7109375,0,none,0,0.3582380692362438,0.0,0.0,0.6417619307637561,False,weighted,base,0.3582380692362438
label_flip,label_flip,L1,D0,5,weighted,4,7,0.7,0.0,512,0,362.85552978515625,0.7087022066116333,148,364,0.7109375,0,none,0,0.2136763486074897,0.0,0.0,0.7863236513925103,False,weighted,base,0.2136763486074897
label_flip,label_flip,L1,D0,5,weighted,4,8,0.7,0.0,512,0,362.85552978515625,0.7087022066116333,148,364,0.7109375,0,none,0,0.16710522917527865,0.0,0.0,0.8328947708247213,False,weighted,base,0.16710522917527865
label_flip,label_flip,L1,D0,5,weighted,4,9,0.7,0.0,512,0,362.85552978515625,0.7087022066116333,148,364,0.7109375,0,none,0,0.11118124721741289,0.0,0.0,0.888818752782587,False,weighted,base,0.11118124721741289
label_flip,label_flip,L1,D0,5,weighted,4,10,0.7,0.0,512,0,362.85552978515625,0.7087022066116333,148,364,0.7109375,0,none,0,0.16407092821389654,0.0,0.0,0.8359290717861034,False,weighted,base,0.16407092821389654
label_flip,label_flip,L1,D0,5,weighted,4,11,0.7,0.0,512,0,362.85552978515625,0.7087022066116333,148,364,0.7109375,0,none,0,0.0589706711680667,0.0,0.0,0.9410293288319335,False,weighted,base,0.0589706711680667
label_flip,label_flip,L1,D0,5,weighted,4,12,0.7,0.0,512,0,362.85552978515625,0.7087022066116333,148,364,0.7109375,0,none,0,0.07195576145006849,0.0,0.0,0.9280442385499315,False,weighted,base,0.07195576145006849
label_flip,label_flip,L1,D0,5,weighted,4,13,0.7,0.0,512,0,362.85552978515625,0.7087022066116333,148,364,0.7109375,0,none,0,0.12212284593561698,0.0,0.0,0.877877154064383,False,weighted,base,0.12212284593561698
label_flip,label_flip,L1,D0,5,weighted,4,14,0.7,0.0,512,0,362.85552978515625,0.7087022066116333,148,364,0.7109375,0,none,0,0.12046388592594817,0.0,0.0,0.8795361140740519,False,weighted,base,0.12046388592594817
label_flip,label_flip,L1,D0,5,weighted,4,15,0.7,0.0,512,0,362.85552978515625,0.7087022066116333,148,364,0.7109375,0,none,0,0.07159409093217926,0.6,0.0,0.9284059090678207,False,weighted,base,0.07159409093217926
label_flip,label_flip,L1,D0,5,mean,0,1,0.7,0.0,512,0,nan,nan,0,0,nan,0,none,0,0.5,nan,nan,nan,False,,base,0.5
label_flip,label_flip,L1,D0,5,mean,0,2,0.7,0.0,512,0,nan,nan,0,0,nan,0,none,0,0.5,nan,nan,nan,False,,base,0.5
label_flip,label_flip,L1,D0,5,mean,0,3,0.7,0.0,512,0,nan,nan,0,0,nan,0,none,0,0.5,nan,nan,nan,False,,base,0.5
label_flip,label_flip,L1,D0,5,mean,0,4,0.7,0.0,512,0,nan,nan,0,0,nan,0,none,0,0.5,nan,nan,nan,False,,base,0.5
label_flip,label_flip,L1,D0,5,mean,0,5,0.7,0.0,512,0,nan,nan,0,0,nan,0,none,0,0.5,nan,nan,nan,False,,base,0.5
label_flip,label_flip,L1,D0,5,mean,0,6,0.7,0.0,512,0,nan,nan,0,0,nan,0,none,0,0.5,nan,nan,nan,False,,base,0.5
label_flip,label_flip,L1,D0,5,mean,0,7,0.7,0.0,512,0,nan,nan,0,0,nan,0,none,0,0.5,nan,nan,nan,False,,base,0.5
label_flip,label_flip,L1,D0,5,mean,0,8,0.7,0.0,512,0,nan,nan,0,0,nan,0,none,0,0.5,nan,nan,nan,False,,base,0.5
label_flip,label_flip,L1,D0,5,mean,0,9,0.7,0.0,512,0,nan,nan,0,0,nan,0,none,0,0.5,nan,nan,nan,False,,base,0.5
label_flip,label_flip,L1,D0,5,mean,0,10,0.7,0.0,512,0,nan,nan,0,0,nan,0,none,0,0.5,nan,nan,nan,False,,base,0.5
label_flip,label_flip,L1,D0,5,mean,0,11,0.7,0.0,512,0,nan,nan,0,0,nan,0,none,0,0.5,nan,nan,nan,False,,base,0.5
label_flip,label_flip,L1,D0,5,mean,0,12,0.7,0.0,512,0,nan,nan,0,0,nan,0,none,0,0.5,nan,nan,nan,False,,base,0.5
label_flip,label_flip,L1,D0,5,mean,0,13,0.7,0.0,512,0,nan,nan,0,0,nan,0,none,0,0.5,nan,nan,nan,False,,base,0.5
label_flip,label_flip,L1,D0,5,mean,0,14,0.7,0.0,512,0,nan,nan,0,0,nan,0,none,0,0.5,nan,nan,nan,False,,base,0.5
label_flip,label_flip,L1,D0,5,mean,0,15,0.7,0.0,512,0,nan,nan,0,0,nan,0,none,0,0.5,nan,nan,nan,False,,base,0.5
label_flip,label_flip,L1,D0,5,mean,1,1,0.7,0.0,512,0,nan,nan,0,0,nan,0,none,0,0.5,nan,nan,nan,False,,base,0.5
label_flip,label_flip,L1,D0,5,mean,1,2,0.7,0.0,512,0,nan,nan,0,0,nan,0,none,0,0.5,nan,nan,nan,False,,base,0.5
label_flip,label_flip,L1,D0,5,mean,1,3,0.7,0.0,512,0,nan,nan,0,0,nan,0,none,0,0.5,nan,nan,nan,False,,base,0.5
label_flip,label_flip,L1,D0,5,mean,1,4,0.7,0.0,512,0,nan,nan,0,0,nan,0,none,0,0.5,nan,nan,nan,False,,base,0.5
label_flip,label_flip,L1,D0,5,mean,1,5,0.7,0.0,512,0,nan,nan,0,0,nan,0,none,0,0.5,nan,nan,nan,False,,base,0.5
label_flip,label_flip,L1,D0,5,mean,1,6,0.7,0.0,512,0,nan,nan,0,0,nan,0,none,0,0.5,nan,nan,nan,False,,base,0.5
label_flip,label_flip,L1,D0,5,mean,1,7,0.7,0.0,512,0,nan,nan,0,0,nan,0,none,0,0.5,nan,nan,nan,False,,base,0.5
label_flip,label_flip,L1,D0,5,mean,1,8,0.7,0.0,512,0,nan,nan,0,0,nan,0,none,0,0.5,nan,nan,nan,False,,base,0.5
label_flip,label_flip,L1,D0,5,mean,1,9,0.7,0.0,512,0,nan,nan,0,0,nan,0,none,0,0.5,nan,nan,nan,False,,base,0.5
label_flip,label_flip,L1,D0,5,mean,1,10,0.7,0.0,512,0,nan,nan,0,0,nan,0,none,0,0.5,nan,nan,nan,False,,base,0.5
label_flip,label_flip,L1,D0,5,mean,1,11,0.7,0.0,512,0,nan,nan,0,0,nan,0,none,0,0.5,nan,nan,nan,False,,base,0.5
label_flip,label_flip,L1,D0,5,mean,1,12,0.7,0.0,512,0,nan,nan,0,0,nan,0,none,0,0.5,nan,nan,nan,False,,base,0.5
label_flip,label_flip,L1,D0,5,mean,1,13,0.7,0.0,512,0,nan,nan,0,0,nan,0,none,0,0.5,nan,nan,nan,False,,base,0.5
label_flip,label_flip,L1,D0,5,mean,1,14,0.7,0.0,512,0,nan,nan,0,0,nan,0,none,0,0.5,nan,nan,nan,False,,base,0.5
label_flip,label_flip,L1,D0,5,mean,1,15,0.7,0.0,512,0,nan,nan,0,0,nan,0,none,0,0.5,nan,nan,nan,False,,base,0.5
label_flip,label_flip,L1,D0,5,mean,2,1,0.7,0.0,512,0,nan,nan,0,0,nan,0,none,0,0.5,nan,nan,nan,False,,base,0.5
label_flip,label_flip,L1,D0,5,mean,2,2,0.7,0.0,512,0,nan,nan,0,0,nan,0,none,0,0.5,nan,nan,nan,False,,base,0.5
label_flip,label_flip,L1,D0,5,mean,2,3,0.7,0.0,512,0,nan,nan,0,0,nan,0,none,0,0.5,nan,nan,nan,False,,base,0.5
label_flip,label_flip,L1,D0,5,mean,2,4,0.7,0.0,512,0,nan,nan,0,0,nan,0,none,0,0.5,nan,nan,nan,False,,base,0.5
label_flip,label_flip,L1,D0,5,mean,2,5,0.7,0.0,512,0,nan,nan,0,0,nan,0,none,0,0.5,nan,nan,nan,False,,base,0.5
label_flip,label_flip,L1,D0,5,mean,2,6,0.7,0.0,512,0,nan,nan,0,0,nan,0,none,0,0.5,nan,nan,nan,False,,base,0.5
label_flip,label_flip,L1,D0,5,mean,2,7,0.7,0.0,512,0,nan,nan,0,0,nan,0,none,0,0.5,nan,nan,nan,False,,base,0.5
label_flip,label_flip,L1,D0,5,mean,2,8,0.7,0.0,512,0,nan,nan,0,0,nan,0,none,0,0.5,nan,nan,nan,False,,base,0.5
label_flip,label_flip,L1,D0,5,mean,2,9,0.7,0.0,512,0,nan,nan,0,0,nan,0,none,0,0.5,nan,nan,nan,False,,base,0.5
label_flip,label_flip,L1,D0,5,mean,2,10,0.7,0.0,512,0,nan,nan,0,0,nan,0,none,0,0.5,nan,nan,nan,False,,base,0.5
label_flip,label_flip,L1,D0,5,mean,2,11,0.7,0.0,512,0,nan,nan,0,0,nan,0,none,0,0.5,nan,nan,nan,False,,base,0.5
label_flip,label_flip,L1,D0,5,mean,2,12,0.7,0.0,512,0,nan,nan,0,0,nan,0,none,0,0.5,nan,nan,nan,False,,base,0.5
